Inventory Date,ItemCode,Branch,Demand
1/7/2018,68,Houston F&S,82
1/7/2018,58,Toronto F&S,42
1/7/2018,55,Atlanta F&S,3
1/7/2018,68,Seattle F&S,164
1/7/2018,68,Tampa F&S,967
1/7/2018,55,Sacramento Main,1
1/7/2018,69,Atlanta F&S,259
1/7/2018,69,Baltimore F&S,98
1/7/2018,59,Tampa F&S,35
1/7/2018,69,Fontana,152
1/7/2018,66,Sacramento Main,22
1/7/2018,69,Houston F&S,105
1/7/2018,69,Montreal F&S,104
1/7/2018,69,Sacramento Main,27
1/7/2018,69,Seattle F&S,211
1/7/2018,69,Tampa F&S,771
1/7/2018,69,Toronto F&S,66
1/7/2018,71,Atlanta F&S,442
1/7/2018,71,Baltimore F&S,222
1/7/2018,58,Sacramento Main,2
1/7/2018,71,Fontana,441
1/7/2018,71,Great Lakes CC,60
1/7/2018,71,Houston F&S,231
1/7/2018,71,Montreal F&S,171
1/7/2018,71,Sacramento Main,110
1/7/2018,71,Seattle F&S,337
1/7/2018,71,Tampa F&S,746
1/7/2018,15,Baltimore F&S,1988
1/7/2018,55,Sacramento Main,1
1/7/2018,85,Atlanta F&S,1894
1/7/2018,85,Baltimore F&S,1080
1/7/2018,85,Edmonton F&S,3761
1/7/2018,85,Fontana,2844
1/7/2018,85,Great Lakes CC,816
1/7/2018,85,Houston F&S,479
1/7/2018,85,Montreal F&S,4242
1/7/2018,85,Sacramento Main,7
1/7/2018,85,Seattle F&S,1153
1/7/2018,85,Tampa F&S,2315
1/7/2018,85,Toronto F&S,17602
1/7/2018,85,Vancouver F&S,689
1/7/2018,85,Sacramento Main,7
1/7/2018,55,Sacramento Main,1
1/7/2018,56,Atlanta F&S,10
1/7/2018,55,Atlanta F&S,3
1/7/2018,56,Seattle F&S,19
1/7/2018,88,Atlanta F&S,37
1/7/2018,57,Fontana,11
1/7/2018,88,Fontana,45
1/7/2018,59,Seattle F&S,9
1/7/2018,55,Fontana,4
1/7/2018,88,Seattle F&S,52
1/7/2018,58,Atlanta F&S,39
1/7/2018,88,Toronto F&S,101
1/7/2018,55,Sacramento Main,1
1/7/2018,59,Seattle F&S,9
1/7/2018,55,Atlanta F&S,3
1/7/2018,55,Sacramento Main,1
1/7/2018,58,Sacramento Main,2
1/7/2018,58,Sacramento Main,2
1/7/2018,55,Fontana,4
1/7/2018,17,Vancouver F&S,17
1/7/2018,63,Sacramento Main,12
1/7/2018,39,Vancouver F&S,8
1/7/2018,55,Sacramento Main,1
1/7/2018,57,Seattle F&S,28
1/7/2018,17,Vancouver F&S,17
1/7/2018,55,Sacramento Main,1
1/7/2018,94,Seattle F&S,24
1/7/2018,55,Seattle F&S,15
1/7/2018,94,Toronto F&S,62
1/7/2018,57,Sacramento Main,5
1/7/2018,57,Sacramento Main,5
1/7/2018,96,Fontana,48
1/7/2018,68,Houston F&S,82
1/7/2018,55,Sacramento Main,1
1/7/2018,57,Fontana,11
1/7/2018,55,Sacramento Main,1
1/7/2018,96,Toronto F&S,76
1/7/2018,55,Atlanta F&S,3
1/7/2018,108,Baltimore F&S,209
1/7/2018,108,Fontana,109
1/7/2018,58,Sacramento Main,2
1/7/2018,108,Montreal F&S,14
1/7/2018,56,Fontana,6
1/7/2018,17,Houston F&S,637
1/7/2018,109,Baltimore F&S,606
1/7/2018,109,Edmonton F&S,577
1/7/2018,109,Fontana,976
1/7/2018,109,Great Lakes CC,50
1/7/2018,109,Houston F&S,120
1/7/2018,109,Montreal F&S,256
1/7/2018,109,Seattle F&S,541
1/7/2018,109,Tampa F&S,843
1/7/2018,109,Toronto F&S,630
1/7/2018,63,Sacramento Main,12
1/7/2018,111,Atlanta F&S,777
1/7/2018,111,Baltimore F&S,818
1/7/2018,111,Edmonton F&S,1265
1/7/2018,111,Fontana,1995
1/7/2018,111,Great Lakes CC,86
1/7/2018,111,Houston F&S,210
1/7/2018,111,Montreal F&S,367
1/7/2018,14,Vancouver F&S,752
1/7/2018,111,Tampa F&S,703
1/7/2018,111,Toronto F&S,3324
1/7/2018,111,Vancouver F&S,130
1/7/2018,112,Atlanta F&S,3571
1/7/2018,112,Baltimore F&S,2818
1/7/2018,112,Edmonton F&S,3179
1/7/2018,112,Fontana,1861
1/7/2018,112,Great Lakes CC,458
1/7/2018,112,Houston F&S,734
1/7/2018,112,Montreal F&S,2241
1/7/2018,55,Sacramento Main,1
1/7/2018,112,Seattle F&S,935
1/7/2018,112,Tampa F&S,1778
1/7/2018,112,Toronto F&S,9308
1/7/2018,112,Vancouver F&S,306
1/7/2018,113,Atlanta F&S,1237
1/7/2018,113,Baltimore F&S,1127
1/7/2018,113,Edmonton F&S,2449
1/7/2018,113,Fontana,1313
1/7/2018,94,Toronto F&S,62
1/7/2018,113,Houston F&S,844
1/7/2018,113,Montreal F&S,405
1/7/2018,55,Sacramento Main,1
1/7/2018,63,Seattle F&S,686
1/7/2018,113,Tampa F&S,1937
1/7/2018,113,Toronto F&S,13214
1/7/2018,115,Atlanta F&S,2719
1/7/2018,115,Baltimore F&S,3048
1/7/2018,115,Edmonton F&S,4055
1/7/2018,115,Fontana,1873
1/7/2018,115,Great Lakes CC,559
1/7/2018,115,Houston F&S,656
1/7/2018,115,Montreal F&S,1412
1/7/2018,115,Sacramento Main,140
1/7/2018,115,Seattle F&S,3188
1/7/2018,115,Tampa F&S,2435
1/7/2018,115,Toronto F&S,19015
1/7/2018,115,Vancouver F&S,323
1/7/2018,119,Atlanta F&S,784
1/7/2018,66,Sacramento Main,22
1/7/2018,119,Edmonton F&S,186
1/7/2018,119,Fontana,515
1/7/2018,119,Great Lakes CC,144
1/7/2018,119,Houston F&S,221
1/7/2018,119,Linden,49
1/7/2018,119,Montreal F&S,378
1/7/2018,119,Sacramento Main,174
1/7/2018,119,Seattle F&S,1246
1/7/2018,119,Tampa F&S,883
1/7/2018,119,Toronto F&S,6642
1/7/2018,119,Vancouver F&S,524
1/7/2018,121,Great Lakes CC,129
1/7/2018,55,Fontana,4
1/7/2018,121,Toronto F&S,566
1/7/2018,55,Fontana,4
1/7/2018,63,Atlanta F&S,375
1/7/2018,63,Sacramento Main,12
1/7/2018,56,Atlanta F&S,10
1/7/2018,11,Edmonton F&S,252
1/7/2018,122,Sacramento Main,997
1/7/2018,122,Seattle F&S,2134
1/7/2018,122,Toronto F&S,877
1/7/2018,94,Seattle F&S,24
1/7/2018,123,Fontana,1034
1/7/2018,123,Montreal F&S,357
1/7/2018,123,Sacramento Main,135
1/7/2018,123,Seattle F&S,1573
1/7/2018,123,Toronto F&S,461
1/7/2018,123,Vancouver F&S,224
