Branch,ItemCode,Week 1,Week 2,Week 3,Week 4,Monthly Demand
Toronto F&S,336077,8.0,8.0,8.0,8.0,0.0
Toronto F&S,336081,8.0,8.0,8.0,8.0,0.0
Toronto F&S,336218,2.0,2.0,2.0,2.0,0.0
Toronto F&S,336222,2.0,2.0,2.0,2.0,0.0
Toronto F&S,336226,6.0,6.0,6.0,6.0,0.0
Toronto F&S,338002,8.0,8.0,8.0,8.0,0.0
Toronto F&S,338071,8.0,8.0,8.0,9.0,1.0
Toronto F&S,338109,2.0,2.0,2.0,2.0,0.0
Toronto F&S,338116,1.0,1.0,1.0,1.0,0.0
Toronto F&S,338122,8.0,8.0,8.0,8.0,0.0
Toronto F&S,338123,8.0,8.0,8.0,8.0,0.0
Toronto F&S,338136,1.0,1.0,1.0,1.0,0.0
Toronto F&S,338150,4.0,4.0,4.0,4.0,0.0
Toronto F&S,338229,8.0,8.0,8.0,8.0,0.0
Toronto F&S,338273,8.0,8.0,8.0,8.0,0.0
Toronto F&S,339000,4.0,4.0,4.0,4.0,0.0
Toronto F&S,339005,37.0,37.0,37.0,37.0,0.0
Toronto F&S,339024,30.0,30.0,30.0,30.0,0.0
Toronto F&S,339030,32.0,32.0,32.0,32.0,0.0
Toronto F&S,339040,261.0,261.0,261.0,261.0,0.0
Toronto F&S,339080,76.0,76.0,76.0,76.0,0.0
Edmonton F&S,03S,2.0,2.0,2.0,2.0,0.0
Seattle F&S,04EXS,56.0,56.0,56.0,56.0,0.0
Edmonton F&S,06A,831.0,799.0,793.0,834.0,3.0
Fontana,06A,280.0,280.0,280.0,276.0,-4.0
Great Lakes CC,06A,40.0,50.0,52.0,52.0,12.0
Houston F&S,06A,199.0,199.0,199.0,199.0,0.0
Linden,06A,7.0,7.0,7.0,7.0,0.0
Sacramento Main,06A,146.0,146.0,126.0,128.0,-18.0
Seattle F&S,06A,75.0,75.0,119.0,129.0,54.0
Tampa F&S,06A,141.0,141.0,141.0,141.0,0.0
Vancouver F&S,06A,2977.0,2936.0,2977.0,2674.0,-303.0
Fontana,06B,663.0,385.0,385.0,428.0,-235.0
Great Lakes CC,06B,6.0,6.0,6.0,6.0,0.0
Houston F&S,06B,442.0,442.0,442.0,442.0,0.0
Sacramento Main,06B,230.0,230.0,230.0,278.0,48.0
Seattle F&S,06B,472.0,485.0,519.0,537.0,65.0
Edmonton F&S,06C,427.0,334.0,336.0,354.0,-73.0
Fontana,06C,108.0,108.0,104.0,216.0,108.0
Great Lakes CC,06C,38.0,44.0,46.0,46.0,8.0
Houston F&S,06C,394.0,394.0,394.0,394.0,0.0
Linden,06C,7.0,7.0,7.0,7.0,0.0
Sacramento Main,06C,114.0,150.0,162.0,179.0,65.0
Seattle F&S,06C,102.0,102.0,102.0,102.0,0.0
Tampa F&S,06C,14.0,14.0,14.0,14.0,0.0
Vancouver F&S,06C,2286.0,2353.0,2413.0,2281.0,-5.0
Edmonton F&S,06D,2363.0,2376.0,2301.0,2301.0,-62.0
Fontana,06D,1996.0,2424.0,2670.0,2805.0,809.0
Great Lakes CC,06D,1182.0,1346.0,466.0,395.0,-787.0
Houston F&S,06D,179.0,179.0,179.0,179.0,0.0
Linden,06D,226.0,226.0,226.0,226.0,0.0
Sacramento Main,06D,778.0,940.0,1007.0,1085.0,307.0
Seattle F&S,06D,672.0,643.0,653.0,670.0,-2.0
Tampa F&S,06D,480.0,480.0,480.0,480.0,0.0
Vancouver F&S,06D,5631.0,5602.0,5568.0,5256.0,-375.0
Fontana,06E,1570.0,1783.0,1804.0,1862.0,292.0
Great Lakes CC,06E,698.0,698.0,529.0,567.0,-131.0
Houston F&S,06E,404.0,404.0,404.0,404.0,0.0
Linden,06E,26.0,26.0,26.0,26.0,0.0
Sacramento Main,06E,2268.0,2324.0,2360.0,2388.0,120.0
Seattle F&S,06E,3150.0,3167.0,3267.0,3353.0,203.0
Baltimore F&S,06F,2.0,2.0,2.0,2.0,0.0
Edmonton F&S,06F,2529.0,2492.0,2342.0,2567.0,38.0
Fontana,06F,1066.0,1219.0,1237.0,1272.0,206.0
Great Lakes CC,06F,399.0,336.0,336.0,336.0,-63.0
Houston F&S,06F,357.0,357.0,357.0,357.0,0.0
Linden,06F,24.0,24.0,24.0,24.0,0.0
Sacramento Main,06F,257.0,255.0,276.0,222.0,-35.0
Seattle F&S,06F,533.0,529.0,534.0,531.0,-2.0
Tampa F&S,06F,86.0,82.0,83.0,84.0,-2.0
Vancouver F&S,06F,3977.0,3981.0,4134.0,3970.0,-7.0
Edmonton F&S,06G,389.0,389.0,389.0,439.0,50.0
Fontana,06G,2.0,0.0,0.0,16.0,14.0
Great Lakes CC,06G,40.0,40.0,40.0,40.0,0.0
Houston F&S,06G,189.0,189.0,189.0,189.0,0.0
Sacramento Main,06G,34.0,34.0,34.0,34.0,0.0
Seattle F&S,06G,79.0,114.0,125.0,147.0,68.0
Tampa F&S,06G,14.0,14.0,10.0,10.0,-4.0
Edmonton F&S,06H,54.0,54.0,54.0,69.0,15.0
Houston F&S,06H,127.0,127.0,127.0,127.0,0.0
Seattle F&S,06H,121.0,121.0,121.0,121.0,0.0
Edmonton F&S,06K,3174.0,3252.0,3049.0,3235.0,61.0
Fontana,06K,1406.0,1362.0,1423.0,1480.0,74.0
Great Lakes CC,06K,150.0,157.0,157.0,249.0,99.0
Houston F&S,06K,244.0,244.0,244.0,244.0,0.0
Linden,06K,16.0,16.0,66.0,66.0,50.0
Sacramento Main,06K,474.0,491.0,528.0,541.0,67.0
Seattle F&S,06K,525.0,521.0,397.0,435.0,-90.0
Tampa F&S,06K,52.0,52.0,52.0,52.0,0.0
Vancouver F&S,06K,30.0,30.0,30.0,80.0,50.0
Edmonton F&S,06L,585.0,551.0,542.0,686.0,101.0
Fontana,06L,551.0,754.0,1285.0,1601.0,1050.0
Great Lakes CC,06L,405.0,421.0,424.0,189.0,-216.0
Houston F&S,06L,485.0,485.0,485.0,485.0,0.0
Linden,06L,180.0,180.0,180.0,180.0,0.0
Sacramento Main,06L,773.0,797.0,831.0,810.0,37.0
Seattle F&S,06L,335.0,366.0,382.0,406.0,71.0
Vancouver F&S,06L,227.0,215.0,200.0,200.0,-27.0
Edmonton F&S,06M,314.0,347.0,335.0,376.0,62.0
Fontana,06M,186.0,186.0,336.0,340.0,154.0
Great Lakes CC,06M,77.0,80.0,80.0,62.0,-15.0
Houston F&S,06M,211.0,211.0,211.0,211.0,0.0
Linden,06M,24.0,24.0,24.0,24.0,0.0
Sacramento Main,06M,77.0,77.0,77.0,90.0,13.0
Seattle F&S,06M,22.0,22.0,18.0,20.0,-2.0
Vancouver F&S,06M,104.0,105.0,105.0,105.0,1.0
Edmonton F&S,06N,13.0,13.0,13.0,13.0,0.0
Sacramento Main,06N,203.0,203.0,203.0,203.0,0.0
Seattle F&S,06N,22.0,22.0,30.0,30.0,8.0
Vancouver F&S,06N,20.0,20.0,20.0,20.0,0.0
Edmonton F&S,06Q,683.0,689.0,663.0,670.0,-13.0
Fontana,06Q,380.0,248.0,256.0,294.0,-86.0
Great Lakes CC,06Q,20.0,32.0,38.0,46.0,26.0
Houston F&S,06Q,295.0,295.0,295.0,295.0,0.0
Linden,06Q,9.0,9.0,9.0,9.0,0.0
Sacramento Main,06Q,31.0,31.0,29.0,35.0,4.0
Seattle F&S,06Q,274.0,233.0,217.0,222.0,-52.0
Tampa F&S,06Q,8.0,8.0,8.0,8.0,0.0
Vancouver F&S,06Q,16.0,16.0,16.0,16.0,0.0
Edmonton F&S,06R,121.0,65.0,61.0,134.0,13.0
Fontana,06R,148.0,110.0,308.0,312.0,164.0
Great Lakes CC,06R,30.0,36.0,38.0,41.0,11.0
Houston F&S,06R,519.0,519.0,519.0,519.0,0.0
Linden,06R,2.0,2.0,2.0,2.0,0.0
Sacramento Main,06R,20.0,20.0,20.0,20.0,0.0
Seattle F&S,06R,277.0,277.0,293.0,297.0,20.0
Vancouver F&S,06R,183.0,183.0,183.0,181.0,-2.0
Edmonton F&S,06S,60.0,51.0,51.0,51.0,-9.0
Fontana,06S,22.0,22.0,120.0,120.0,98.0
Great Lakes CC,06S,16.0,16.0,16.0,16.0,0.0
Houston F&S,06S,297.0,297.0,297.0,297.0,0.0
Sacramento Main,06S,54.0,54.0,54.0,54.0,0.0
Seattle F&S,06S,24.0,24.0,22.0,22.0,-2.0
Vancouver F&S,06S,18.0,18.0,18.0,18.0,0.0
Sacramento Main,06T,120.0,120.0,120.0,120.0,0.0
Seattle F&S,06T,4.0,4.0,4.0,4.0,0.0
Toronto F&S,919259,32.0,32.0,32.0,32.0,0.0
Toronto F&S,926224,8.0,8.0,8.0,8.0,0.0
Fontana,100037,340.0,340.0,340.0,340.0,0.0
Atlanta F&S,100040,48288.0,49428.0,50481.0,53419.0,5131.0
Houston F&S,100040,144.0,144.0,144.0,1872.0,1728.0
Tampa F&S,100040,58288.0,62656.0,58685.0,57701.0,-587.0
Edmonton F&S,100097,41.0,0.0,0.0,0.0,-41.0
Fontana,100321,30.0,30.0,30.0,30.0,0.0
Fontana,100752,464.0,464.0,464.0,464.0,0.0
Houston F&S,1011000,98.0,98.0,98.0,98.0,0.0
