InventoryDate,ItemCode,Branch,InventoryQuantity
1/7/2018,2267,Atlanta F&S,681
1/7/2018,2269,Atlanta F&S,2491
1/7/2018,2276,Atlanta F&S,71180
1/7/2018,228,Atlanta F&S,1070
1/7/2018,229,Atlanta F&S,829
1/7/2018,230,Atlanta F&S,520
1/7/2018,231,Atlanta F&S,21
1/7/2018,232,Atlanta F&S,2566
1/7/2018,234,Atlanta F&S,192
1/7/2018,238,Atlanta F&S,20
1/7/2018,239,Atlanta F&S,32979
1/7/2018,247,Atlanta F&S,77
1/7/2018,249,Atlanta F&S,316
1/7/2018,250,Atlanta F&S,48
1/7/2018,254,Atlanta F&S,62
1/7/2018,265,Atlanta F&S,2430
1/7/2018,278,Atlanta F&S,3
1/7/2018,285,Atlanta F&S,3
1/7/2018,286,Atlanta F&S,13
1/7/2018,288,Atlanta F&S,1
1/7/2018,299,Atlanta F&S,216
1/7/2018,318,Atlanta F&S,24
1/7/2018,3328,Atlanta F&S,1780
1/7/2018,334,Atlanta F&S,15
1/7/2018,3346,Atlanta F&S,557
1/7/2018,3354,Atlanta F&S,16
1/7/2018,3358,Atlanta F&S,1
1/7/2018,3360,Atlanta F&S,262
1/7/2018,3364,Atlanta F&S,690
1/7/2018,337,Atlanta F&S,2
1/7/2018,3372,Atlanta F&S,221
1/7/2018,3405,Atlanta F&S,510
1/7/2018,3406,Atlanta F&S,350
1/7/2018,3412,Atlanta F&S,850
1/7/2018,3415,Atlanta F&S,1
1/7/2018,3419,Atlanta F&S,1
1/7/2018,3420,Atlanta F&S,2
1/7/2018,3421,Atlanta F&S,1
1/7/2018,3422,Atlanta F&S,2
1/7/2018,3429,Atlanta F&S,80
1/7/2018,344,Atlanta F&S,1
1/7/2018,3442,Atlanta F&S,2178
1/7/2018,3448,Atlanta F&S,506
1/7/2018,3467,Atlanta F&S,14699
1/7/2018,3468,Atlanta F&S,530
1/7/2018,3475,Atlanta F&S,1111
1/7/2018,3476,Atlanta F&S,5968
1/7/2018,3480,Atlanta F&S,10439
1/7/2018,3481,Atlanta F&S,13185
1/7/2018,352,Atlanta F&S,25
1/7/2018,3539,Atlanta F&S,9
1/7/2018,3540,Atlanta F&S,53798
1/7/2018,3542,Atlanta F&S,18478
1/7/2018,3555,Atlanta F&S,474
1/7/2018,3556,Atlanta F&S,12
1/7/2018,3557,Atlanta F&S,33645
1/7/2018,3558,Atlanta F&S,437
1/7/2018,3559,Atlanta F&S,223
1/7/2018,3560,Atlanta F&S,269
1/7/2018,3564,Atlanta F&S,45
1/7/2018,3568,Atlanta F&S,186
1/7/2018,3571,Atlanta F&S,2300
1/7/2018,3573,Atlanta F&S,2
1/7/2018,3575,Atlanta F&S,226
1/7/2018,3579,Atlanta F&S,23
1/7/2018,3580,Atlanta F&S,173
1/7/2018,3581,Atlanta F&S,1150
1/7/2018,3582,Atlanta F&S,157
1/7/2018,3583,Atlanta F&S,745
1/7/2018,3584,Atlanta F&S,675
1/7/2018,3585,Atlanta F&S,423
1/7/2018,3586,Atlanta F&S,218
1/7/2018,3587,Atlanta F&S,385
1/7/2018,3588,Atlanta F&S,336
1/7/2018,3590,Atlanta F&S,90
1/7/2018,3591,Atlanta F&S,2284
1/7/2018,3592,Atlanta F&S,177
1/7/2018,3593,Atlanta F&S,1564
1/7/2018,3594,Atlanta F&S,138
1/7/2018,3595,Atlanta F&S,368
1/7/2018,3596,Atlanta F&S,629
1/7/2018,3597,Atlanta F&S,370
