ItemCode,Branch,InventoryQuantity
306001,Great Lakes CC,100
306002,Baltimore F&S,18
306002,Great Lakes CC,21
306002,USD Region Offices,4
306020,Toronto F&S,96
306027,Toronto F&S,174
306031,Toronto F&S,349
306032,Edmonton F&S,70
306032,Montreal F&S,2
306032,Toronto F&S,372
306054,Toronto F&S,40
306059,Edmonton F&S,19
306059,Toronto F&S,30
306060,Toronto F&S,334
306072,Toronto F&S,100
315,USD Region Offices,12
331000,Montreal F&S,40
331000,Toronto F&S,116
331009,Toronto F&S,212
331010,Toronto F&S,198
331020,Toronto F&S,4
333002,Toronto F&S,202
333003,Toronto F&S,268
333004,Toronto F&S,483
333005,Toronto F&S,248
333007,Toronto F&S,4
333008,Toronto F&S,55
333008,USD Region Offices,424
333009,Toronto F&S,93
333009,USD Region Offices,396
333010,Toronto F&S,228
333011,Toronto F&S,473
333011,USD Region Offices,6
333012,Toronto F&S,62
333012,USD Region Offices,408
333013,Seattle F&S,4
333013,Toronto F&S,37
333013,USD Region Offices,28
333014,Toronto F&S,396
333016,Toronto F&S,426
335126,Toronto F&S,34
335130,Toronto F&S,120
335148,Toronto F&S,8
335153,Toronto F&S,594
335166,Toronto F&S,10
335169,Toronto F&S,12
335176,Toronto F&S,8
335182,Toronto F&S,8
335190,Toronto F&S,2
335202,Toronto F&S,14
335226,Toronto F&S,314
335240,Toronto F&S,28
335245,Toronto F&S,32
335250,Toronto F&S,24
335255,Toronto F&S,36
335255,USD Region Offices,8
335260,Toronto F&S,16
336000,Toronto F&S,32
336000,USD Region Offices,40
336039,Toronto F&S,32
336049,Toronto F&S,944
336050,Toronto F&S,464
336051,Toronto F&S,6040
336052,Toronto F&S,2238
336052,USD Region Offices,2
336054,Toronto F&S,644
336055,Montreal F&S,18
336055,Toronto F&S,100
336062,Toronto F&S,174
336065,Toronto F&S,312
336067,Toronto F&S,242
336076,Toronto F&S,32
336077,Toronto F&S,8
336081,Toronto F&S,24
336084,Toronto F&S,28
336091,Toronto F&S,72
336094,Toronto F&S,112
336202,Toronto F&S,16
336204,Toronto F&S,4
336210,Toronto F&S,24
336218,Toronto F&S,2
336222,Toronto F&S,14
336226,Toronto F&S,10
338000,USD Region Offices,6
338001,USD Region Offices,4
338002,Toronto F&S,174
