Inventory Date,ItemCode,Branch,Weekly Demand
1/7/18,241200,Toronto F&S,518
1/14/18,241200,Toronto F&S,1438
1/21/18,241200,Toronto F&S,1438
1/28/18,241200,Toronto F&S,1630
1/7/18,241250,Seattle F&S,2436
1/14/18,241250,Seattle F&S,36
1/21/18,241250,Seattle F&S,36
1/28/18,241250,Seattle F&S,36
1/7/18,241250,Toronto F&S,31873
1/14/18,241250,Toronto F&S,32042
1/21/18,241250,Toronto F&S,32828
1/28/18,241250,Toronto F&S,33222
1/7/18,241400,Fontana,12
1/14/18,241400,Fontana,12
1/21/18,241400,Fontana,12
1/28/18,241400,Fontana,12
1/7/18,241600,Edmonton F&S,52
1/14/18,241600,Edmonton F&S,52
1/21/18,241600,Edmonton F&S,52
1/28/18,241600,Edmonton F&S,52
1/7/18,241600,Montreal F&S,200
1/14/18,241600,Montreal F&S,200
1/21/18,241600,Montreal F&S,200
1/28/18,241600,Montreal F&S,200
1/7/18,241600,Toronto F&S,1936
1/14/18,241600,Toronto F&S,4253
1/21/18,241600,Toronto F&S,4644
1/28/18,241600,Toronto F&S,4644
1/14/18,241601,Toronto F&S,96
1/21/18,241601,Toronto F&S,96
1/28/18,241601,Toronto F&S,96
1/7/18,241608,Fontana,88
1/14/18,241608,Fontana,88
1/7/18,241608,Toronto F&S,1124
1/14/18,241608,Toronto F&S,1124
1/21/18,241608,Toronto F&S,1124
1/28/18,241608,Toronto F&S,1124
1/7/18,241612,Toronto F&S,2128
1/14/18,241612,Toronto F&S,2128
1/21/18,241612,Toronto F&S,2128
1/28/18,241612,Toronto F&S,2128
1/7/18,241616,Toronto F&S,2176
1/14/18,241616,Toronto F&S,2216
1/21/18,241616,Toronto F&S,2216
1/28/18,241616,Toronto F&S,2216
1/7/18,241650,Toronto F&S,270
1/14/18,241650,Toronto F&S,270
1/21/18,241650,Toronto F&S,270
1/28/18,241650,Toronto F&S,270
1/7/18,241670,Toronto F&S,594
1/14/18,241670,Toronto F&S,594
1/21/18,241670,Toronto F&S,594
1/28/18,241670,Toronto F&S,594
1/7/18,241690,Edmonton F&S,52
1/14/18,241690,Edmonton F&S,52
1/21/18,241690,Edmonton F&S,52
1/28/18,241690,Edmonton F&S,52
1/7/18,241690,Montreal F&S,200
1/14/18,241690,Montreal F&S,200
1/21/18,241690,Montreal F&S,200
1/28/18,241690,Montreal F&S,200
1/7/18,241690,Toronto F&S,22951
1/14/18,241690,Toronto F&S,24199
1/21/18,241690,Toronto F&S,24357
1/28/18,241690,Toronto F&S,24357
1/7/18,241812,Toronto F&S,668
1/14/18,241812,Toronto F&S,668
1/21/18,241812,Toronto F&S,668
1/28/18,241812,Toronto F&S,668
1/7/18,242000,Toronto F&S,817
1/14/18,242000,Toronto F&S,817
1/21/18,242000,Toronto F&S,817
1/28/18,242000,Toronto F&S,817
1/7/18,242012,Toronto F&S,1612
1/14/18,242012,Toronto F&S,1612
1/21/18,242012,Toronto F&S,1612
1/28/18,242012,Toronto F&S,1612
1/7/18,242018,Toronto F&S,3
1/14/18,242018,Toronto F&S,3
1/21/18,242018,Toronto F&S,3
1/28/18,242018,Toronto F&S,3
1/7/18,242070,Toronto F&S,14
1/14/18,242070,Toronto F&S,14
1/21/18,242070,Toronto F&S,14
1/28/18,242070,Toronto F&S,14
1/7/18,242090,Toronto F&S,244
1/14/18,242090,Toronto F&S,244
1/21/18,242090,Toronto F&S,244
1/28/18,242090,Toronto F&S,244
1/7/18,242400,Toronto F&S,133
1/14/18,242400,Toronto F&S,133
1/21/18,242400,Toronto F&S,133
1/28/18,242400,Toronto F&S,133
1/7/18,242401,Toronto F&S,290
1/14/18,242401,Toronto F&S,290
1/21/18,242401,Toronto F&S,290
1/28/18,242401,Toronto F&S,290
1/7/18,242460,Toronto F&S,276
1/14/18,242460,Toronto F&S,276
1/21/18,242460,Toronto F&S,276
1/28/18,242460,Toronto F&S,276
1/7/18,243000,Toronto F&S,8
1/14/18,243000,Toronto F&S,8
1/21/18,243000,Toronto F&S,8
1/28/18,243000,Toronto F&S,8
1/7/18,243001,Toronto F&S,12
1/14/18,243001,Toronto F&S,12
1/21/18,243001,Toronto F&S,12
1/28/18,243001,Toronto F&S,12
1/7/18,243013,Toronto F&S,31
1/14/18,243013,Toronto F&S,31
1/21/18,243013,Toronto F&S,31
1/28/18,243013,Toronto F&S,31
1/7/18,243060,Toronto F&S,25
1/14/18,243060,Toronto F&S,25
1/21/18,243060,Toronto F&S,25
1/28/18,243060,Toronto F&S,25
1/7/18,249037,Toronto F&S,16
1/14/18,249037,Toronto F&S,16
1/21/18,249037,Toronto F&S,16
1/28/18,249037,Toronto F&S,16
1/7/18,250000,Toronto F&S,9685
1/14/18,250000,Toronto F&S,10081
1/21/18,250000,Toronto F&S,10171
1/28/18,250000,Toronto F&S,10219
1/7/18,252070,Edmonton F&S,78
1/14/18,252070,Edmonton F&S,78
1/21/18,252070,Edmonton F&S,78
1/28/18,252070,Edmonton F&S,78
1/7/18,252070,Fontana,6
1/14/18,252070,Fontana,6
1/7/18,252070,Toronto F&S,8821
1/14/18,252070,Toronto F&S,8821
1/21/18,252070,Toronto F&S,8835
1/28/18,252070,Toronto F&S,8883
1/7/18,260000,Toronto F&S,4
1/14/18,260000,Toronto F&S,4
1/21/18,260000,Toronto F&S,4
1/28/18,260000,Toronto F&S,4
1/7/18,306001,Great Lakes CC,21
1/14/18,306001,Great Lakes CC,21
1/21/18,306001,Great Lakes CC,21
1/28/18,306001,Great Lakes CC,21
1/7/18,306002,Baltimore F&S,12
1/14/18,306002,Baltimore F&S,12
1/21/18,306002,Baltimore F&S,12
1/28/18,306002,Baltimore F&S,12
1/7/18,306002,Great Lakes CC,21
1/14/18,306002,Great Lakes CC,21
1/21/18,306002,Great Lakes CC,21
1/28/18,306002,Great Lakes CC,21
1/7/18,306031,Toronto F&S,275
1/14/18,306031,Toronto F&S,275
1/21/18,306031,Toronto F&S,275
1/28/18,306031,Toronto F&S,275
1/7/18,306032,Edmonton F&S,29
1/14/18,306032,Edmonton F&S,29
1/21/18,306032,Edmonton F&S,29
1/28/18,306032,Edmonton F&S,16
1/7/18,306032,Toronto F&S,87
1/14/18,306032,Toronto F&S,84
1/21/18,306032,Toronto F&S,92
1/28/18,306032,Toronto F&S,92
1/7/18,306059,Edmonton F&S,2
1/14/18,306059,Edmonton F&S,2
1/21/18,306059,Edmonton F&S,2
1/28/18,306059,Edmonton F&S,2
1/7/18,306059,Toronto F&S,6
1/14/18,306059,Toronto F&S,6
1/21/18,306059,Toronto F&S,6
1/28/18,306059,Toronto F&S,6
1/7/18,306060,Toronto F&S,263
1/14/18,306060,Toronto F&S,263
1/21/18,306060,Toronto F&S,263
1/28/18,306060,Toronto F&S,263
1/7/18,331000,Montreal F&S,40
1/14/18,331000,Montreal F&S,40
1/21/18,331000,Montreal F&S,40
1/28/18,331000,Montreal F&S,40
1/7/18,331000,Toronto F&S,42
1/14/18,331000,Toronto F&S,42
1/21/18,331000,Toronto F&S,37
1/28/18,331000,Toronto F&S,36
1/7/18,333002,Toronto F&S,2
1/14/18,333002,Toronto F&S,2
1/21/18,333002,Toronto F&S,2
1/28/18,333002,Toronto F&S,2
1/7/18,333004,Toronto F&S,1
1/14/18,333004,Toronto F&S,1
1/21/18,333004,Toronto F&S,1
1/28/18,333004,Toronto F&S,1
1/7/18,333008,Toronto F&S,2
1/14/18,333008,Toronto F&S,2
1/21/18,333008,Toronto F&S,2
1/28/18,333008,Toronto F&S,2
1/7/18,333009,Toronto F&S,7
1/14/18,333009,Toronto F&S,7
1/21/18,333009,Toronto F&S,7
1/28/18,333009,Toronto F&S,7
1/7/18,333010,Toronto F&S,10
1/14/18,333010,Toronto F&S,10
1/21/18,333010,Toronto F&S,10
1/28/18,333010,Toronto F&S,10
1/7/18,333013,Toronto F&S,5
1/14/18,333013,Toronto F&S,5
1/21/18,333013,Toronto F&S,5
1/28/18,333013,Toronto F&S,5
1/7/18,335226,Toronto F&S,138
1/14/18,335226,Toronto F&S,138
1/21/18,335226,Toronto F&S,138
1/28/18,335226,Toronto F&S,138
1/7/18,336000,Toronto F&S,8
1/14/18,336000,Toronto F&S,8
1/21/18,336000,Toronto F&S,8
1/28/18,336000,Toronto F&S,8
1/7/18,336049,Toronto F&S,80
1/14/18,336049,Toronto F&S,80
1/21/18,336049,Toronto F&S,80
1/28/18,336049,Toronto F&S,80
1/7/18,336050,Toronto F&S,72
1/14/18,336050,Toronto F&S,72
1/21/18,336050,Toronto F&S,72
1/28/18,336050,Toronto F&S,72
1/7/18,336051,Toronto F&S,108
1/14/18,336051,Toronto F&S,108
1/21/18,336051,Toronto F&S,108
1/28/18,336051,Toronto F&S,108
1/7/18,336054,Toronto F&S,146
1/14/18,336054,Toronto F&S,146
1/21/18,336054,Toronto F&S,146
1/28/18,336054,Toronto F&S,146
1/7/18,336055,Toronto F&S,84
1/14/18,336055,Toronto F&S,84
1/21/18,336055,Toronto F&S,84
1/28/18,336055,Toronto F&S,84
1/7/18,336077,Toronto F&S,8
1/14/18,336077,Toronto F&S,8
1/21/18,336077,Toronto F&S,8
1/28/18,336077,Toronto F&S,8
1/7/18,336081,Toronto F&S,8
1/14/18,336081,Toronto F&S,8
1/21/18,336081,Toronto F&S,8
1/28/18,336081,Toronto F&S,8
1/7/18,336218,Toronto F&S,2
1/14/18,336218,Toronto F&S,2
1/21/18,336218,Toronto F&S,2
1/28/18,336218,Toronto F&S,2
1/7/18,336222,Toronto F&S,2
1/14/18,336222,Toronto F&S,2
1/21/18,336222,Toronto F&S,2
1/28/18,336222,Toronto F&S,2
1/7/18,336226,Toronto F&S,6
1/14/18,336226,Toronto F&S,6
1/21/18,336226,Toronto F&S,6
1/28/18,336226,Toronto F&S,6
1/7/18,338002,Toronto F&S,8
1/14/18,338002,Toronto F&S,8
1/21/18,338002,Toronto F&S,8
1/28/18,338002,Toronto F&S,8
1/7/18,338071,Toronto F&S,8
1/14/18,338071,Toronto F&S,8
1/21/18,338071,Toronto F&S,8
1/28/18,338071,Toronto F&S,9
1/7/18,338109,Toronto F&S,2
1/14/18,338109,Toronto F&S,2
1/21/18,338109,Toronto F&S,2
1/28/18,338109,Toronto F&S,2
1/7/18,338116,Toronto F&S,1
1/14/18,338116,Toronto F&S,1
1/21/18,338116,Toronto F&S,1
1/28/18,338116,Toronto F&S,1
1/7/18,338122,Toronto F&S,8
1/14/18,338122,Toronto F&S,8
1/21/18,338122,Toronto F&S,8
1/28/18,338122,Toronto F&S,8
1/7/18,338123,Toronto F&S,8
1/14/18,338123,Toronto F&S,8
1/21/18,338123,Toronto F&S,8
1/28/18,338123,Toronto F&S,8
1/7/18,338136,Toronto F&S,1
1/14/18,338136,Toronto F&S,1
1/21/18,338136,Toronto F&S,1
1/28/18,338136,Toronto F&S,1
1/7/18,338150,Toronto F&S,4
1/14/18,338150,Toronto F&S,4
1/21/18,338150,Toronto F&S,4
1/28/18,338150,Toronto F&S,4
1/7/18,338229,Toronto F&S,8
1/14/18,338229,Toronto F&S,8
1/21/18,338229,Toronto F&S,8
1/28/18,338229,Toronto F&S,8
1/7/18,338273,Toronto F&S,8
1/14/18,338273,Toronto F&S,8
1/21/18,338273,Toronto F&S,8
1/28/18,338273,Toronto F&S,8
1/7/18,339000,Toronto F&S,4
1/14/18,339000,Toronto F&S,4
1/21/18,339000,Toronto F&S,4
1/28/18,339000,Toronto F&S,4
1/7/18,339005,Toronto F&S,37
1/14/18,339005,Toronto F&S,37
1/21/18,339005,Toronto F&S,37
1/28/18,339005,Toronto F&S,37
1/7/18,339024,Toronto F&S,30
1/14/18,339024,Toronto F&S,30
1/21/18,339024,Toronto F&S,30
1/28/18,339024,Toronto F&S,30
1/7/18,339030,Toronto F&S,32
1/14/18,339030,Toronto F&S,32
1/21/18,339030,Toronto F&S,32
1/28/18,339030,Toronto F&S,32
1/7/18,339040,Toronto F&S,261
1/14/18,339040,Toronto F&S,261
1/21/18,339040,Toronto F&S,261
1/28/18,339040,Toronto F&S,261
1/7/18,339080,Toronto F&S,76
1/14/18,339080,Toronto F&S,76
1/21/18,339080,Toronto F&S,76
1/28/18,339080,Toronto F&S,76
1/7/18,03S,Edmonton F&S,2
1/14/18,03S,Edmonton F&S,2
1/21/18,03S,Edmonton F&S,2
1/28/18,03S,Edmonton F&S,2
1/7/18,04EXS,Seattle F&S,56
1/14/18,04EXS,Seattle F&S,56
1/21/18,04EXS,Seattle F&S,56
1/28/18,04EXS,Seattle F&S,56
1/7/18,06A,Edmonton F&S,831
1/14/18,06A,Edmonton F&S,799
1/21/18,06A,Edmonton F&S,793
1/28/18,06A,Edmonton F&S,834
1/7/18,06A,Fontana,280
1/14/18,06A,Fontana,280
1/21/18,06A,Fontana,280
1/28/18,06A,Fontana,276
1/7/18,06A,Great Lakes CC,40
1/14/18,06A,Great Lakes CC,50
1/21/18,06A,Great Lakes CC,52
1/28/18,06A,Great Lakes CC,52
1/7/18,06A,Houston F&S,199
1/14/18,06A,Houston F&S,199
1/21/18,06A,Houston F&S,199
1/28/18,06A,Houston F&S,199
1/7/18,06A,Linden,7
1/14/18,06A,Linden,7
1/21/18,06A,Linden,7
1/28/18,06A,Linden,7
1/7/18,06A,Sacramento Main,146
1/14/18,06A,Sacramento Main,146
1/21/18,06A,Sacramento Main,126
1/28/18,06A,Sacramento Main,128
1/7/18,06A,Seattle F&S,75
1/14/18,06A,Seattle F&S,75
1/21/18,06A,Seattle F&S,119
1/28/18,06A,Seattle F&S,129
1/7/18,06A,Tampa F&S,141
1/14/18,06A,Tampa F&S,141
1/21/18,06A,Tampa F&S,141
1/28/18,06A,Tampa F&S,141
1/7/18,06A,Vancouver F&S,2977
1/14/18,06A,Vancouver F&S,2936
1/21/18,06A,Vancouver F&S,2977
1/28/18,06A,Vancouver F&S,2674
1/7/18,06B,Fontana,663
1/14/18,06B,Fontana,385
1/21/18,06B,Fontana,385
1/28/18,06B,Fontana,428
1/7/18,06B,Great Lakes CC,6
1/14/18,06B,Great Lakes CC,6
1/21/18,06B,Great Lakes CC,6
1/28/18,06B,Great Lakes CC,6
1/7/18,06B,Houston F&S,442
1/14/18,06B,Houston F&S,442
1/21/18,06B,Houston F&S,442
1/28/18,06B,Houston F&S,442
1/7/18,06B,Sacramento Main,230
1/14/18,06B,Sacramento Main,230
1/21/18,06B,Sacramento Main,230
1/28/18,06B,Sacramento Main,278
1/7/18,06B,Seattle F&S,472
1/14/18,06B,Seattle F&S,485
1/21/18,06B,Seattle F&S,519
1/28/18,06B,Seattle F&S,537
1/7/18,06C,Edmonton F&S,427
1/14/18,06C,Edmonton F&S,334
1/21/18,06C,Edmonton F&S,336
1/28/18,06C,Edmonton F&S,354
1/7/18,06C,Fontana,108
1/14/18,06C,Fontana,108
1/21/18,06C,Fontana,104
1/28/18,06C,Fontana,216
1/7/18,06C,Great Lakes CC,38
1/14/18,06C,Great Lakes CC,44
1/21/18,06C,Great Lakes CC,46
1/28/18,06C,Great Lakes CC,46
1/7/18,06C,Houston F&S,394
1/14/18,06C,Houston F&S,394
1/21/18,06C,Houston F&S,394
1/28/18,06C,Houston F&S,394
1/7/18,06C,Linden,7
1/14/18,06C,Linden,7
1/21/18,06C,Linden,7
1/28/18,06C,Linden,7
1/7/18,06C,Sacramento Main,114
1/14/18,06C,Sacramento Main,150
1/21/18,06C,Sacramento Main,162
1/28/18,06C,Sacramento Main,179
1/7/18,06C,Seattle F&S,102
1/14/18,06C,Seattle F&S,102
1/21/18,06C,Seattle F&S,102
1/28/18,06C,Seattle F&S,102
1/7/18,06C,Tampa F&S,14
1/14/18,06C,Tampa F&S,14
1/21/18,06C,Tampa F&S,14
1/28/18,06C,Tampa F&S,14
1/7/18,06C,Vancouver F&S,2286
1/14/18,06C,Vancouver F&S,2353
1/21/18,06C,Vancouver F&S,2413
1/28/18,06C,Vancouver F&S,2281
1/7/18,06D,Edmonton F&S,2363
1/14/18,06D,Edmonton F&S,2376
1/21/18,06D,Edmonton F&S,2301
1/28/18,06D,Edmonton F&S,2301
1/7/18,06D,Fontana,1996
1/14/18,06D,Fontana,2424
1/21/18,06D,Fontana,2670
1/28/18,06D,Fontana,2805
1/7/18,06D,Great Lakes CC,1182
1/14/18,06D,Great Lakes CC,1346
1/21/18,06D,Great Lakes CC,466
1/28/18,06D,Great Lakes CC,395
1/7/18,06D,Houston F&S,179
1/14/18,06D,Houston F&S,179
1/21/18,06D,Houston F&S,179
1/28/18,06D,Houston F&S,179
1/7/18,06D,Linden,226
1/14/18,06D,Linden,226
1/21/18,06D,Linden,226
1/28/18,06D,Linden,226
1/7/18,06D,Sacramento Main,778
1/14/18,06D,Sacramento Main,940
1/21/18,06D,Sacramento Main,1007
1/28/18,06D,Sacramento Main,1085
1/7/18,06D,Seattle F&S,672
1/14/18,06D,Seattle F&S,643
1/21/18,06D,Seattle F&S,653
1/28/18,06D,Seattle F&S,670
1/7/18,06D,Tampa F&S,480
1/14/18,06D,Tampa F&S,480
1/21/18,06D,Tampa F&S,480
1/28/18,06D,Tampa F&S,480
1/7/18,06D,Vancouver F&S,5631
1/14/18,06D,Vancouver F&S,5602
1/21/18,06D,Vancouver F&S,5568
1/28/18,06D,Vancouver F&S,5256
1/7/18,06E,Fontana,1570
1/14/18,06E,Fontana,1783
1/21/18,06E,Fontana,1804
1/28/18,06E,Fontana,1862
1/7/18,06E,Great Lakes CC,698
1/14/18,06E,Great Lakes CC,698
1/21/18,06E,Great Lakes CC,529
1/28/18,06E,Great Lakes CC,567
1/7/18,06E,Houston F&S,404
1/14/18,06E,Houston F&S,404
1/21/18,06E,Houston F&S,404
1/28/18,06E,Houston F&S,404
1/7/18,06E,Linden,26
1/14/18,06E,Linden,26
1/21/18,06E,Linden,26
1/28/18,06E,Linden,26
1/7/18,06E,Sacramento Main,2268
1/14/18,06E,Sacramento Main,2324
1/21/18,06E,Sacramento Main,2360
1/28/18,06E,Sacramento Main,2388
1/7/18,06E,Seattle F&S,3150
1/14/18,06E,Seattle F&S,3167
1/21/18,06E,Seattle F&S,3267
1/28/18,06E,Seattle F&S,3353
1/21/18,06E,Tampa F&S,6
1/28/18,06E,Tampa F&S,6
1/7/18,06F,Baltimore F&S,2
1/14/18,06F,Baltimore F&S,2
1/21/18,06F,Baltimore F&S,2
1/28/18,06F,Baltimore F&S,2
1/7/18,06F,Edmonton F&S,2529
1/14/18,06F,Edmonton F&S,2492
1/21/18,06F,Edmonton F&S,2342
1/28/18,06F,Edmonton F&S,2567
1/7/18,06F,Fontana,1066
1/14/18,06F,Fontana,1219
1/21/18,06F,Fontana,1237
